Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
768.06,75.1,2.8,44.9
769.06,73.6,2.8,44.9
770.06,75.3,2.8,44.9
771.07,74.8,2.8,44.9
772.07,74.9,2.8,44.9
773.07,74.8,2.8,44.9
774.07,73.4,2.8,44.9
775.07,74.3,2.8,44.9
776.07,75.1,2.8,44.9
777.07,74.7,2.8,44.9
778.07,75.1,2.8,44.9
779.07,74.3,2.8,44.9
780.07,74.8,2.8,44.9
781.07,75.0,2.8,44.9
782.07,74.4,2.8,44.9
783.07,74.9,2.8,44.9
784.07,74.6,2.8,44.9
785.07,75.2,2.8,44.9
786.07,74.2,2.8,44.9
787.07,75.1,2.8,44.9
788.07,73.9,2.8,44.9
789.07,73.7,2.8,44.9
790.07,74.1,2.8,44.9
791.07,74.7,2.8,44.9
792.07,74.7,2.8,44.9
793.07,73.9,2.8,44.9
794.07,74.1,2.8,44.9
795.07,75.1,2.8,44.9
796.07,75.1,2.8,44.9
797.07,74.7,2.8,44.9
798.07,75.3,2.8,44.9
799.07,74.7,2.8,44.9
800.07,73.7,2.8,44.9
801.07,75.2,2.8,44.9
802.07,74.0,2.8,44.9
803.07,70.2,2.8,44.9
804.07,74.4,2.8,44.9
805.07,74.9,2.8,44.9
806.07,75.3,2.8,44.9
807.07,73.8,2.8,44.9
808.07,74.6,2.8,44.9
809.07,74.2,2.8,44.9
810.07,74.6,2.8,44.9
811.07,74.6,2.8,44.9
812.07,73.3,2.8,44.9
813.07,74.2,2.8,44.9
814.07,74.6,2.8,44.9
815.07,74.7,2.8,44.9
816.07,75.3,2.8,44.9
817.07,73.3,2.8,44.9
818.07,74.9,2.8,44.9
819.07,74.6,2.8,44.9
820.07,74.7,2.8,44.9
821.07,74.4,2.8,44.9
822.07,74.6,2.8,44.9
823.07,75.1,2.8,44.9
824.07,74.8,2.8,44.9
825.07,74.1,2.8,44.9
826.07,73.3,2.8,44.9
827.07,75.1,2.8,44.9
828.07,74.3,2.8,44.9
829.07,74.7,2.8,44.9
830.07,74.4,2.8,44.9
831.07,74.7,2.8,44.9
832.07,74.5,2.8,44.9
833.07,73.5,2.8,44.9
834.07,74.3,2.8,44.9
835.07,73.9,2.8,44.9
836.07,75.1,2.8,44.9
837.07,74.1,2.8,44.9
838.07,74.7,2.8,44.9
839.07,74.1,2.8,44.9
840.07,74.6,2.8,44.9
841.07,74.6,2.8,44.9
842.07,73.8,2.8,44.9
843.07,73.9,2.8,44.9
844.07,73.1,2.8,44.9
845.07,74.6,2.8,44.9
846.07,74.3,2.8,44.9
847.07,74.5,2.8,44.9
848.07,74.5,2.8,44.9
849.07,74.1,2.8,44.9
850.07,74.9,2.8,44.9
851.07,73.7,2.8,44.9
852.07,74.8,2.8,44.9
853.07,74.9,2.8,44.9
854.07,74.1,2.8,44.9
855.07,74.1,2.8,44.9
856.07,73.8,2.8,44.9
857.07,75.2,2.8,44.9
